ID,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
367,RL,NA,9500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1963,1963,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,Gd,TA,No,1394,GasA,Gd,Y,SBrkr,1,1,3,1,TA,6,Attchd,1963,RFn,2,514,TA,TA,Y,NA,NA,7,2009,WD,Normal,159000
368,RL,101,9150,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,1962,1962,Gable,Tar&Grv,Plywood,Plywood,TA,TA,CBlock,Gd,TA,Gd,1099,GasA,Gd,Y,SBrkr,1,0,3,1,TA,6,Basment,1962,RFn,1,296,TA,TA,Y,NA,NA,12,2008,WD,Normal,165000
369,RL,78,7800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,TA,TA,No,1268,GasA,Gd,Y,SBrkr,1,0,2,1,TA,7,Attchd,1954,Fin,1,244,TA,TA,Y,NA,NA,3,2010,WD,Normal,132000
370,RL,NA,9830,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Gd,CBlock,TA,TA,No,1063,GasA,Ex,Y,SBrkr,1,0,3,1,Gd,7,Detchd,1997,Fin,2,576,TA,TA,Y,NA,NA,3,2010,WD,Normal,162000
371,RL,NA,8121,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,953,GasA,Ex,Y,SBrkr,2,1,3,1,TA,7,Attchd,2000,RFn,2,460,TA,TA,Y,NA,NA,1,2006,WD,Normal,172400
372,RL,80,17120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,1959,1959,Gable,CompShg,WdShing,Plywood,TA,TA,CBlock,NA,NA,NA,0,GasA,TA,Y,SBrkr,2,0,4,1,TA,7,Detchd,1991,Fin,2,680,TA,TA,N,NA,NA,7,2008,WD,Normal,134432
373,RL,50,7175,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,5,1984,1984,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,Gd,TA,No,744,GasA,TA,Y,SBrkr,1,0,2,1,TA,4,Attchd,1984,Unf,1,264,TA,TA,Y,MnPrv,NA,2,2010,WD,Normal,125000
374,RL,79,10634,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,TA,TA,No,608,GasA,TA,Y,SBrkr,1,0,3,1,TA,5,Attchd,1953,Unf,1,270,TA,TA,Y,GdWo,NA,11,2009,WD,Normal,123000
375,RL,65,8200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,847,GasA,Ex,Y,SBrkr,2,1,4,1,Gd,8,BuiltIn,2003,Fin,2,434,TA,TA,Y,NA,NA,7,2007,WD,Normal,219500
376,RL,NA,10020,Pave,NA,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,Fa,BrkTil,Fa,Po,Gd,683,GasA,Gd,N,FuseA,0,1,1,1,Fa,4,NA,NA,NA,0,0,NA,NA,Y,NA,NA,3,2009,WD,Normal,61000
377,RL,57,8846,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,870,GasA,Ex,Y,SBrkr,1,0,2,1,TA,5,Detchd,1998,Unf,2,576,TA,TA,Y,NA,NA,7,2006,WD,Normal,148000
378,FV,102,11143,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,No,1580,GasA,Ex,Y,SBrkr,3,0,4,1,Gd,8,Attchd,2004,RFn,2,610,TA,TA,Y,NA,NA,12,2007,WD,Normal,340000
379,RL,88,11394,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,1856,GasA,Ex,Y,SBrkr,1,1,1,1,Ex,8,Attchd,2010,Fin,3,834,TA,TA,Y,NA,NA,6,2010,New,Partial,394432
380,RL,60,8123,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,982,GasA,Ex,Y,SBrkr,2,1,3,1,TA,7,Attchd,2000,Fin,2,463,TA,TA,Y,NA,NA,6,2009,WD,Normal,179000
381,RL,50,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,BrkTil,TA,TA,No,1026,GasA,TA,Y,SBrkr,2,0,3,1,Gd,6,Detchd,1924,Unf,1,308,TA,TA,Y,NA,NA,5,2010,WD,Normal,127000
382,FV,60,7200,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,Gd,No,1293,GasA,Ex,Y,SBrkr,2,0,2,1,Gd,5,Attchd,2006,RFn,2,572,TA,TA,Y,NA,NA,8,2006,New,Partial,187750
383,RL,79,9245,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,939,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,8,Attchd,2006,RFn,2,639,TA,TA,Y,NA,NA,4,2007,WD,Normal,213500
384,RH,60,9000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Fa,Fa,No,784,GasA,TA,N,FuseA,1,0,2,1,TA,5,Detchd,1950,Unf,2,360,Fa,Fa,N,NA,NA,10,2009,WD,Normal,76000
385,RL,NA,53107,Pave,NA,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,Av,1580,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,9,Attchd,1992,Fin,2,501,TA,TA,Y,NA,NA,6,2007,WD,Normal,240000
386,RL,43,3182,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1256,GasA,Ex,Y,SBrkr,2,0,2,1,Gd,6,Attchd,2004,Fin,2,430,TA,TA,Y,NA,NA,4,2010,WD,Normal,192000
387,RL,58,8410,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,TA,Fa,PConc,TA,TA,No,658,GasA,TA,Y,SBrkr,1,0,5,1,TA,8,NA,NA,NA,0,0,NA,NA,N,NA,NA,5,2006,WD,AdjLand,81000
388,RL,72,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Av,1041,GasA,Ex,Y,SBrkr,1,0,3,1,TA,6,Detchd,1977,Unf,1,352,TA,TA,Y,GdWo,NA,10,2009,WD,Abnorml,125000
389,RL,93,9382,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1468,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,6,Attchd,1999,RFn,2,577,TA,TA,Y,NA,NA,7,2008,WD,Normal,191000
390,RL,96,12474,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Av,1682,GasA,Ex,Y,SBrkr,2,1,3,1,Ex,9,BuiltIn,2008,Fin,3,846,TA,TA,Y,NA,NA,8,2008,New,Partial,426000
391,RL,50,8405,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,Gd,No,861,GasA,Ex,Y,SBrkr,1,0,4,1,TA,7,Detchd,1978,Unf,1,384,TA,TA,Y,MnPrv,NA,4,2008,WD,Normal,119000
392,RL,71,12209,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Ex,TA,No,804,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,7,BuiltIn,2001,Fin,2,560,TA,TA,Y,NA,NA,6,2009,WD,Normal,215000
393,RL,NA,8339,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,NA,NA,NA,0,GasA,TA,Y,SBrkr,1,0,3,1,TA,5,Attchd,1959,RFn,1,294,TA,TA,Y,MnPrv,Shed,7,2007,WD,Normal,106500
394,RL,NA,7446,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,No,788,GasA,TA,Y,FuseA,1,0,2,1,TA,4,NA,NA,NA,0,0,NA,NA,Y,GdWo,NA,4,2006,WD,Abnorml,100000
395,RL,60,10134,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,735,GasA,Gd,Y,FuseA,1,0,2,1,TA,5,Detchd,1940,Unf,1,240,TA,TA,Y,NA,NA,7,2007,WD,Normal,109000
396,RL,68,9571,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Av,1144,GasA,TA,Y,SBrkr,1,0,3,1,TA,6,Attchd,1956,Unf,1,596,TA,TA,Y,NA,NA,6,2010,WD,Normal,129000
397,RL,60,7200,Pave,NA,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Av,894,GasA,TA,Y,SBrkr,1,0,2,1,TA,6,Detchd,1985,RFn,2,600,TA,TA,Y,NA,NA,9,2009,WD,Normal,123000
398,RL,69,7590,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,No,864,GasA,TA,Y,SBrkr,2,0,4,1,TA,8,Attchd,1962,RFn,1,264,TA,TA,Y,NA,NA,7,2007,WD,Normal,169500
399,RM,60,8967,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,TA,Fa,BrkTil,Fa,Po,No,961,GasA,Gd,Y,Mix,1,0,2,1,TA,6,Detchd,1920,Unf,1,338,Po,Po,N,NA,NA,11,2007,WD,Abnorml,67000
400,FV,65,8125,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,No,1092,GasA,Ex,Y,SBrkr,2,0,2,1,Gd,7,Attchd,2007,Fin,2,438,TA,TA,Y,NA,NA,10,2009,WD,Normal,241000
401,RL,38,14963,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,No,1260,GasA,Ex,Y,SBrkr,1,1,1,1,Ex,4,Attchd,1996,Fin,2,500,TA,TA,Y,NA,NA,12,2008,WD,Normal,245500
402,RL,65,8767,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1310,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,6,Attchd,2005,Fin,2,400,TA,TA,Y,NA,NA,7,2006,New,Partial,164990
403,RL,60,10200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,672,GasA,Ex,Y,SBrkr,1,0,2,1,TA,4,Detchd,1940,Unf,1,240,TA,TA,N,GdPrv,NA,8,2008,WD,Normal,108000
404,RL,93,12090,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1141,GasA,Gd,Y,SBrkr,2,1,4,1,Gd,10,BuiltIn,1998,Fin,2,420,TA,TA,Y,NA,NA,7,2006,WD,Abnorml,258000
405,RL,NA,10364,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,No,806,GasA,Gd,Y,SBrkr,2,1,3,1,TA,7,BuiltIn,1995,Fin,2,373,TA,TA,Y,NA,NA,5,2007,WD,Normal,168000
406,RL,NA,9991,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,1976,1993,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,TA,TA,No,1281,GasA,Ex,Y,SBrkr,2,0,3,1,TA,8,Attchd,1993,Unf,2,490,TA,TA,Y,GdWo,NA,6,2009,WD,Normal,150000
407,RL,51,10480,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,1064,GasA,Ex,Y,FuseA,1,0,3,1,TA,6,Detchd,1936,Unf,1,240,TA,TA,Y,NA,NA,3,2008,WD,Normal,115000
408,RL,63,15576,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,TA,TA,BrkTil,Gd,TA,No,840,GasA,Ex,Y,SBrkr,2,0,4,1,TA,8,Attchd,1960,Unf,1,308,TA,TA,Y,NA,NA,3,2008,WD,Normal,177000
409,RL,109,14154,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,Gd,No,1063,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,9,Attchd,2006,RFn,3,947,TA,TA,Y,NA,NA,8,2007,New,Partial,280000
410,FV,85,10800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,1034,GasA,Ex,Y,SBrkr,2,1,3,1,Ex,8,Attchd,2008,Fin,3,836,TA,TA,Y,NA,NA,4,2008,New,Partial,339750
411,RL,68,9571,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,TA,Fa,CBlock,TA,Fa,No,1276,GasA,TA,Y,FuseA,1,0,3,1,TA,5,Attchd,1958,Unf,1,350,TA,TA,Y,NA,NA,6,2009,COD,Abnorml,60000
412,RL,100,34650,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Mn,1056,GasA,TA,N,SBrkr,1,0,3,1,TA,5,Attchd,1955,Fin,2,572,TA,TA,Y,NA,NA,1,2006,WD,Normal,145000
413,FV,NA,4403,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,Av,1470,GasA,Ex,Y,SBrkr,2,1,2,1,Gd,7,Attchd,2009,Fin,2,484,TA,TA,Y,NA,NA,6,2010,New,Partial,222000
414,RM,56,8960,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,No,1008,GasA,Gd,Y,FuseA,1,0,2,1,TA,5,Detchd,1927,Unf,2,360,TA,TA,Y,NA,NA,3,2010,WD,Normal,115000
415,RL,59,11228,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1080,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,9,Attchd,1993,Unf,3,678,TA,TA,Y,NA,NA,12,2008,WD,Normal,228000
416,RL,73,8899,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1340,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,6,Attchd,2007,Fin,2,396,TA,TA,Y,NA,NA,8,2007,New,Partial,181134
417,RL,74,7844,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,672,GasA,TA,Y,SBrkr,1,1,3,1,TA,6,Attchd,1978,Fin,2,440,TA,TA,Y,NA,NA,3,2006,WD,Normal,149500
418,RL,86,22420,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,TA,TA,BrkTil,Gd,TA,No,1370,GasW,TA,N,FuseA,2,1,4,1,TA,10,Detchd,1918,Unf,3,864,TA,TA,N,NA,NA,11,2007,WD,Normal,239000
419,RL,60,8160,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,756,GasA,Fa,N,FuseF,1,1,3,1,TA,7,Detchd,1940,Unf,1,240,TA,TA,P,NA,NA,4,2007,WD,AdjLand,126000
420,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,No,1056,GasA,Ex,Y,SBrkr,1,0,3,1,TA,6,Attchd,1968,Unf,1,304,TA,TA,Y,NA,NA,7,2010,WD,Normal,142000
421,RM,78,7060,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,Gd,PConc,Gd,Gd,Gd,1344,GasA,Ex,Y,SBrkr,2,0,2,2,TA,8,Attchd,1997,Fin,4,784,TA,TA,Y,NA,NA,11,2008,WD,Alloca,206300
422,RL,NA,16635,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Gd,TA,CBlock,Gd,TA,No,1602,GasA,Gd,Y,SBrkr,2,0,3,1,Gd,8,Attchd,1977,Fin,2,529,TA,TA,Y,NA,NA,6,2009,WD,Normal,215000
423,RL,100,21750,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,988,GasA,Ex,Y,FuseA,1,0,2,1,TA,4,Attchd,1954,RFn,2,520,TA,TA,N,NA,NA,2,2008,WD,Normal,113000
424,RL,80,9200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1470,GasA,Gd,Y,SBrkr,2,1,4,1,Gd,8,Attchd,1998,Fin,3,696,TA,TA,Y,NA,NA,6,2008,WD,Normal,315000
425,RL,72,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,Gd,TA,No,1196,GasA,Gd,Y,FuseA,1,0,2,1,TA,6,Attchd,1956,RFn,1,297,TA,TA,Y,NA,NA,5,2008,WD,Normal,139000
426,RM,60,3378,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,TA,Gd,CBlock,TA,TA,No,651,GasA,Gd,Y,SBrkr,1,1,3,1,TA,6,Detchd,1947,Unf,1,240,TA,TA,P,NA,NA,9,2009,WD,Normal,135000
427,RL,NA,12800,Pave,NA,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,TA,PConc,Gd,TA,Gd,1518,GasA,Gd,Y,SBrkr,2,0,2,1,Gd,5,Attchd,1989,Fin,2,569,TA,TA,Y,NA,NA,8,2009,WD,Normal,275000
428,RL,77,8593,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,907,GasA,Ex,Y,SBrkr,1,0,3,1,TA,5,Detchd,1964,Unf,1,352,TA,TA,Y,NA,NA,7,2008,WD,Normal,109008
429,RL,64,6762,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1208,GasA,Ex,Y,SBrkr,2,0,2,1,Gd,6,Attchd,2007,RFn,2,628,TA,TA,Y,NA,NA,9,2007,New,Partial,195400
430,RL,130,11457,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Mn,1392,GasA,TA,Y,SBrkr,2,0,3,1,Gd,6,Attchd,1988,Unf,2,576,TA,TA,Y,NA,NA,3,2009,WD,Normal,175000
431,RM,21,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,483,GasA,TA,Y,SBrkr,1,1,2,1,TA,4,Detchd,1971,Unf,1,264,TA,TA,Y,NA,NA,7,2008,COD,Abnorml,85400
432,RM,60,5586,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,901,GasA,Gd,Y,SBrkr,1,0,4,1,TA,7,NA,NA,NA,0,0,NA,NA,N,MnPrv,NA,9,2008,ConLD,Abnorml,79900
433,RM,24,1920,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,765,GasA,Ex,Y,SBrkr,1,1,2,1,TA,6,Detchd,1971,Unf,2,440,TA,TA,Y,NA,NA,8,2007,WD,Normal,122500
434,RL,100,10839,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,926,GasA,Ex,Y,SBrkr,2,1,3,1,TA,7,Attchd,1997,Fin,2,470,TA,TA,Y,NA,NA,7,2008,WD,Normal,181000
435,RM,21,1890,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,TA,Gd,CBlock,Gd,TA,Av,630,GasA,Gd,Y,SBrkr,1,0,1,1,TA,3,NA,NA,NA,0,0,NA,NA,Y,NA,NA,6,2008,WD,Normal,81000
436,RL,43,10667,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,799,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,6,Attchd,1996,RFn,2,550,TA,TA,Y,NA,NA,4,2009,ConLw,Normal,212000
437,RM,40,4400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,8,1920,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,Fa,TA,No,648,GasA,TA,Y,FuseA,1,0,2,1,TA,6,Detchd,1990,Unf,2,440,TA,TA,Y,NA,NA,10,2006,WD,Normal,116000
